,while,void,string,return,numerointeiro,numerofloat,nomevariavel,nomedochar,nomedastring,main,literal,integer,inicio,if,Î,for,float,fim,else,do,cout,cin,char,callfuncao,>>,>=,>,==,=,<=,<<,<,++,+,},{,;,:,/,",",*,),(,$,!=,--,-
<BLOCO>,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<DCLVAR>,,3,3,,,,2,,,,,3,3,,3,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,,,
<REPIDENT>,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,,
<TIPO>,,,8,,,,,,,,,6,,,,,7,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
<LDVAR>,,11,11,,,,10,,,,,11,11,,11,,11,,,,,,11,,,,,,,,,,,,,,,,,,,,,11,,,
<LID>,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<DCLFUNC>,,13,13,,,,,,,,,13,19,,19,,13,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
<TIPO_RETORNO>,,15,18,,,,,,,,,14,,,,,17,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
<VALORRETORNO>,,,,,20,21,22,23,24,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
<DEFPAR>,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,26,,,,,,,27,,,,
<PARAM>,,,28,,,,,,,,,28,,,,,28,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
<LPARAM>,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,29,,,,,30,,,,,
<CORPO>,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<REPCOMANDO>,33,,,,,,33,33,33,,,,,33,32,33,,32,,33,33,33,,33,,,,,,,,,,,32,,,,,,,,,,,,
<COMANDO>,51,,,,,,34,36,35,,,,,48,37,63,,,,66,68,67,,38,,,,,,,,,,,,,37,,,,,,,,,,
<PARAMETROS>,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,39,,,39,,,,,39,40,,,,39
<REPPAR>,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,42,,41,,,,,
<TPARAM>,,,,,43,45,47,46,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<ELSEPARTE>,,,,,,,,,,,,,,,50,,,,49,,,,,,,,,,,,,,,,,,50,,,,,,,,,,
<COMPARACAO>,,,,,,,,,,,,,,,,,,,,,,,,,,55,54,52,,57,,56,,,,,,,,,,,,,53,,
<CONTCOMPARACAO>,,,,,58,59,62,61,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<INCREMENTO>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,65,
<SEQCOUT>,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,70,,,,,,69,,,,,,,,,,
<SEQUENCIA>,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,71,,,,,,71,,,72,,,,,,,
<EXPRESSAO>,,,,,73,73,73,73,73,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,73,,,,
<REPEXP>,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,75,,,77,,,,,77,,,,,76
<TERMO>,,,,,78,78,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,
<REPTERMO>,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,79,,,79,,81,,80,79,,,,,79
<FATOR>,,,,,82,83,84,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,
